,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
1773,s1774,TV Show,Zumbo's Just Desserts,"Raúl Campos, Jan Suter","Adriano Zumbo, Rachel Khoo",Australia,"October 31, 2020",2019,TV-PG,1 Season,"International TV Shows, Reality TV","Dessert Wizard Adriano Zumbo Looks For The Next “Willy Wonka” In This Tense Competition That Finds Skilled Amateurs Competing For A $100,000 Prize."
1774,s1775,Movie,Hidden in Plain Sight,Stacia Crawford,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",United States,"October 30, 2020",2019,TV-14,87 min,"Dramas, Independent Movies, Thrillers",A Woman Stages Her Own Suicide But Still Lives In Fear Of Her Abusive Ex-Boyfriend Tracking Her Down And Stealing The Son He Never Knew He Had.
1775,s1776,Movie,His House,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",United Kingdom,"October 30, 2020",2020,TV-14,93 min,"Horror Movies, Independent Movies","As A Young Couple From War-Torn South Sudan Seeks Asylum And A Fresh Start In England, They’Re Tormented By A Sinister Force Living In Their New Home."
1776,s1777,Movie,In Line,Tope Oshin,"Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba",Nigeria,"October 30, 2020",2017,TV-14,114 min,"Dramas, International Movies","A Convicted Murderer Gets Out Of Prison And Reunites With His Wife, Who Is Plotting Revenge Against Him After Years Of Physical And Emotional Abuse."
1777,s1778,Movie,Kaali Khuhi,Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",India,"October 30, 2020",2020,TV-14,91 min,"Horror Movies, International Movies","When A Restless Spirit Curses A Village That Has A History Of Female Infanticide, The Town'S Fate Lies In The Hands Of A 10-Year-Old Girl."
1779,s1780,TV Show,Marvel's Agents of S.H.I.E.L.D.,"Raúl Campos, Jan Suter","Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons",United States,"October 30, 2020",2020,TV-14,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy","Agent Phil Coulson, Seen In Action In Marvel'S The Avengers, Assembles A Team Of Top S.H.I.E.L.D. Agents To Investigate Bizarre Threats."
1780,s1781,Movie,Rogue City,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",France,"October 30, 2020",2020,TV-MA,116 min,"Dramas, International Movies, Thrillers","Caught In The Crosshairs Of Police Corruption And Marseille’S Warring Gangs, A Loyal Cop Must Protect His Squad By Taking Matters Into His Own Hands."
1781,s1782,TV Show,Somebody Feed Phil,"Raúl Campos, Jan Suter",Philip Rosenthal,United States,"October 30, 2020",2020,TV-14,4 Seasons,"Docuseries, Reality TV","""Everybody Loves Raymond"" Creator Phil Rosenthal Travels The Globe To Take In The Local Cuisine And Culture Of Bangkok, Lisbon, Mexico City And More."
1782,s1783,TV Show,Suburra: Blood on Rome,"Raúl Campos, Jan Suter","Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu",Italy,"October 30, 2020",2020,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas","In 2008, A Fight Over Land In A Seaside Town Near Rome Spirals Into A Deadly Battle Between Organized Crime, Corrupt Politicians And The Vatican."
1783,s1784,Movie,The Day of the Lord,Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia","Mexico, Spain","October 30, 2020",2020,TV-MA,93 min,"Horror Movies, International Movies","In This Horror Movie, A Retired Priest Haunted By His Sins Is Pulled Back Into The Darkness When A Friend Begs Him To Help His Possessed Daughter."
1784,s1785,Movie,Pagpag: Nine Lives,Frasco Mortiz,"Daniel Padilla, Kathryn Bernardo, Shaina Magdayao, Paulo Avelino, Matet De Leon, Janus del Prado, Miles Ocampo, Clarence Delgado, CJ Navato, Michelle Vito",Philippines,"October 29, 2020",2013,TV-14,106 min,"Horror Movies, International Movies","After Ignoring Superstitions, A Group Of Teenagers Find Themselves In A Fight For Their Lives When They Are Haunted — And Hunted — By An Evil Spirit."
1785,s1786,Movie,Holidate,John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",United States,"October 28, 2020",2020,TV-MA,105 min,"Comedies, Romantic Movies","Fed Up With Being Single On Holidays, Two Strangers Agree To Be Each Other'S Platonic Plus-Ones All Year Long, Only To Catch Real Feelings Along The Way."
1787,s1788,Movie,Metallica Through The Never,Nimród Antal,"Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",United States,"October 28, 2020",2013,R,93 min,Music & Musicals,"As Heavy Metal Band Metallica Tears Up The Stage, A Young Roadie Is Sent On An Urgent Errand. But His Mission Soon Takes A Surreal Turn."
1788,s1789,Movie,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",Poland,"October 28, 2020",2020,TV-MA,103 min,"Horror Movies, International Movies","Addicted To Technology, A Group Of Teens Attends A Rehabilitation Camp In The Forest, But A Sinister Force There Intends To Take Them Offline Forever."
1789,s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,Unknown,United States,"October 28, 2020",2020,TV-PG,114 min,Documentaries,"After Unearthing A Tomb That Had Been Untouched For 4,400 Years, Egyptian Archaeologists Attempt To Decipher The History Of The Extraordinary Find."
1790,s1791,TV Show,Blood of Zeus,"Raúl Campos, Jan Suter","Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",United States,"October 27, 2020",2020,TV-MA,1 Season,Anime Series,"A Commoner Living In Ancient Greece, Heron Discovers His True Heritage As A Son Of Zeus, And His Purpose: To Save The World From A Demonic Army."
1791,s1792,TV Show,Chico Bon Bon: Monkey with a Tool Belt,"Raúl Campos, Jan Suter","Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Roberta Lemons, Cole Seaver",United States,"October 27, 2020",2020,TV-Y,4 Seasons,Kids' TV,"Armed With Tools And Engineering Smarts, Monkey Mechanic Chico Bon Bon And His Fix-It Force Help The People Of Blunderburg Solve All Of Their Problems."
1792,s1793,Movie,Guillermo Vilas: Settling the Score,Matías Gueilburt,Unknown,Argentina,"October 27, 2020",2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies","An Argentine Journalist Strives To Prove That His Countryman, Tennis Star Guillermo Vilas, Was Wrongly Denied The No. 1 World Ranking In The 1970S."
1793,s1794,Movie,Sarah Cooper: Everything's Fine,Natasha Lyonne,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",United States,"October 27, 2020",2020,TV-MA,50 min,Comedies,"Comedian And Trump Lip-Synching Sensation Sarah Cooper Tackles Politics, Race And Other Light Topics In A Sketch Special Packed With Celebrity Guests."
1794,s1795,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien",Taiwan,"October 26, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Mysteries","A Baker By Day And Demon Fighter By Night, A Reincarnated Deity Must Jog His Amnesiac Lover'S Memory Of Their Millennium-Long Romance."
1795,s1796,Movie,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel",India,"October 25, 2020",2009,TV-14,150 min,"Comedies, International Movies, Music & Musicals","A Young Man'S Obsession With Making Others Happy Drives Him To Help The Girl He Loves Marry Someone Else, Then Try To Win Her Heart."
1796,s1797,Movie,Black '47,Lance Daly,"Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox, Barry Keoghan, Moe Dunford, Sarah Greene, Jim Broadbent","Ireland, Luxembourg, Belgium","October 24, 2020",2018,R,100 min,"Action & Adventure, Dramas, Independent Movies","When The Great Famine Ravages His Beloved Country, A Battle-Hardened Irishman Deserts The British Empire And Exacts Revenge On The Tyrants Responsible."
1797,s1798,Movie,I Am Woman,Unjoo Moon,"Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg",Australia,"October 24, 2020",2019,TV-MA,117 min,"Dramas, Music & Musicals","In The 1960S, Australian Singer Helen Reddy Struggles With Misogyny In The Music Business — Until She Records An Anthem For The Women'S Movement."
1798,s1799,Movie,Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski",Brazil,"October 23, 2020",2019,TV-MA,87 min,"Comedies, International Movies, LGBTQ Movies","In A Small Town, A Trans Teen With A Vibrant Personality Shakes Up Her High School'S Conservative Ways While Trying To Secure Her First Kiss."
1799,s1800,TV Show,Barbarians,"Raúl Campos, Jan Suter","Laurence Rupp, Jeanne Goursaud, David Schütter, Ronald Zehrfeld, Nicki von Tempelhoff, Bernhard Schütz, Eva Verena Müller, Sophie Rois, Gaetano Aronica, Nikolai Kinski, Jeremy Miliker",Germany,"October 23, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Torn Between The Mighty Empire That Raised Him And His Own Tribal People, A Roman Officer'S Conflicted Allegiances Lead To An Epic Historical Clash."
1800,s1801,TV Show,Move,"Thierry Demaizière, Alban Teurlai",Unknown,United States,"October 23, 2020",2020,TV-MA,1 Season,"Docuseries, International TV Shows",Discover The Brilliant Dancers And Choreographers Who Are Shaping The Art Of Movement Around The World In This Documentary Series.
1801,s1802,Movie,Over the Moon,Glen Keane,"Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora","China, United States","October 23, 2020",2020,PG,100 min,"Children & Family Movies, Music & Musicals","Fueled By Memories Of Her Mother, Resourceful Fei Fei Builds A Rocket To The Moon On A Mission To Prove The Existence Of A Legendary Moon Goddess."
1802,s1803,Movie,Shattered Memories,Chris Sivertson,"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy",United States,"October 23, 2020",2018,TV-14,86 min,"Dramas, Thrillers","When Her Former Lover'S Mysteriously Murdered, A Woman Must Clear Her Name – And Avoid The Killer."
1803,s1804,TV Show,Stolen Away,"Raúl Campos, Jan Suter","Daniel Grao, Carolina Lapausa, Melani Olivares, Adriana Paz, Fernando Solórzano, Juan Carlos Messier, Jon Arias, Verónica Velásquez, David Trejos, Ana Maria Orozco",Spain,"October 23, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Searching For His Kidnapped Daughter, Antonio Sets Off A Series Of Events Affecting Scores Of People When He Maneuvers To Be Sent To Prison In Colombia."
1804,s1805,TV Show,The Queen's Gambit,"Raúl Campos, Jan Suter","Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd",United States,"October 23, 2020",2020,TV-MA,1 Season,TV Dramas,"In A 1950S Orphanage, A Young Girl Reveals An Astonishing Talent For Chess And Begins An Unlikely Journey To Stardom While Grappling With Addiction."
1805,s1806,Movie,Bending the Arc,"Kief Davidson, Pedro Kos",Unknown,United States,"October 22, 2020",2017,TV-MA,102 min,Documentaries,This Documentary Follows A Group Of Ambitious Advocates Whose Mission To Save Lives In Haiti Turns Into A Global Fight For Health Care And Justice.
1806,s1807,Movie,Cadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",Norway,"October 22, 2020",2020,TV-MA,87 min,"Horror Movies, International Movies","When A Peculiar Hotel Dinner Show Draws Crowds During A Postapocalyptic Famine, One Family Discovers They'Ll Pay Much More Than The Price Of Admission."
1807,s1808,Movie,Exes Baggage,Dan Villegas,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",Philippines,"October 22, 2020",2018,TV-MA,103 min,"Dramas, International Movies, Romantic Movies","After Years Apart, A Former Couple Reunites And Gets Reacquainted With The Pains Of Love As They Work To Heal Wounds From The Past."
1808,s1809,Movie,Fisherman's Friends,Chris Foggin,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington",United Kingdom,"October 22, 2020",2019,PG-13,112 min,"Comedies, Dramas, Music & Musicals","Sea Shanties Have Long United 10 Cornish Fishermen, But When Their Chants Sail To The Music Charts, Their Friendship Is Kept At Bay."
1809,s1810,Movie,The Hows of Us,Cathy Garcia-Molina,"Kathryn Bernardo, Daniel Padilla, Darren Espanto, Jean Garcia, Susan Africa, Ria Atayde, Kit Thompson, Odette Khan, Alwyn Uytingco, Juan Miguel Severo",Philippines,"October 22, 2020",2018,TV-14,120 min,"Dramas, International Movies, Romantic Movies","A Young Couple'S House Was Once A Happy Home. But With One As The Breadwinner And The Other Looking For A Big Break, Can Love Still Live Here?"
1810,s1811,Movie,The Hummingbird Project,Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando, Sarah Goldberg, Anna Maguire, Frank Schorpion, Johan Heldenbergh, Kwasi Songui, Ayisha Issa","Canada, Belgium","October 22, 2020",2018,R,111 min,"Dramas, Independent Movies","After Discovering A Shortcut That Gives Them A Technological Advantage, Two Cousins Look To Earn Their Big Score By Outracing A Massive Corporation."
1811,s1812,Movie,"Yes, God, Yes",Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling",United States,"October 22, 2020",2020,R,78 min,"Comedies, Dramas, Independent Movies","A Devoutly Religious Teen Grapples With Her Own Sexual Awakening, And Attends A Catholic School Retreat In The Hopes Of Suppressing Her Newfound Urges."
1812,s1813,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith","Canada, United Kingdom","October 21, 2020",2020,TV-PG,51 min,"Documentaries, International Movies","From Reuse To Energy Generation, New Innovations Across Five Continents Are Explored In This Documentary About Building A Future For Sustainable Water."
1813,s1814,TV Show,My Next Guest Needs No Introduction With David Letterman,"Raúl Campos, Jan Suter","President Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman",United States,"October 21, 2020",2020,TV-MA,3 Seasons,Stand-Up Comedy & Talk Shows,Tv Legend David Letterman Teams Up With Fascinating Global Figures For In-Depth Interviews And Curiosity-Fueled Excursions In This Monthly Talk Show.
1814,s1815,Movie,Rebecca,Ben Wheatley,"Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",United Kingdom,"October 21, 2020",2020,PG-13,123 min,"Dramas, Romantic Movies, Thrillers","A Young Newlywed Moves To Her Husband'S Imposing Estate, Where She Must Contend With His Sinister Housekeeper And The Haunting Shadow Of His Late Wife."
1815,s1816,Movie,The Magic School Bus Rides Again The Frizz Connection,Richard Weston,"Kate McKinnon, Roman Lutterotti, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mucci, Birva Pandya, Lynsey Pham, Kaden Stephen",Canada,"October 20, 2020",2020,TV-Y,46 min,Children & Family Movies,"Lightning Splits The Magic School Bus Into Three Pieces, Scattering The Class Across The Globe With Different Versions Of Ms. Frizzle Aboard Each Bus!"
1816,s1817,Movie,Tremors: Shrieker Island,Don Michael Paul,"Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake",United States,"October 20, 2020",2020,PG-13,102 min,"Action & Adventure, Horror Movies","When Massive Mutant Creatures Infiltrate An Island Nature Preserve, Scientists Recruit A Legendary Monster Hunter To Battle The Beasts."
1817,s1818,Movie,Beirut Oh Beirut,Maroun Baghdadi,"Ezzat El Alaily, Mireille Maalouf, Joseph Bou Nassar, Elie Adabachi, Philippe Akiki, Ahmed Al Zein",Lebanon,"October 19, 2020",1975,TV-14,106 min,"Classic Movies, Dramas, International Movies","In The Aftermath Of The 1967 Arab-Israeli War, Four Young Lebanese Navigate Their Existence Along Rapidly Transforming Political Lines."
1818,s1819,Movie,Bosta,Philippe Aractingi,"Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",Lebanon,"October 19, 2020",2005,TV-14,112 min,"Dramas, International Movies, Music & Musicals","After 15 Years In France, Kamal Returns To His Native Beirut And Reassembles His Dance Crew, Striving To Modernize Traditional Dabke Routines."
1819,s1820,Movie,Ghadi,Amin Dora,"Georges Khabbaz, Lara Rain, Emmanuel Khairallah, Samir Youssef, Camille Salameh, Rodrigue Sleiman, Caroline Labaki, Giselle Boueiz, Christine Choueiri",Lebanon,"October 19, 2020",2013,TV-MA,101 min,"Comedies, Dramas, International Movies","When The Father Of A Boy With Down Syndrome Resists His Neighbors' Efforts To Have The Child Institutionalized, Miraculous Events Begin To Occur."
1820,s1821,Movie,Heritages,Philippe Aractingi,"Philippe Aractingi, Diane Aractingi","Lebanon, United Arab Emirates, France, Switzerland, Germany","October 19, 2020",2014,TV-14,96 min,"Documentaries, International Movies","After Being Forced To Leave His Country Three Times, A Lebanese Film Director Traces His Roots And Analyzes Key Moments Of The Nation'S History."
1821,s1822,Movie,Listen,Philippe Aractingi,"Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand",Lebanon,"October 19, 2020",2017,TV-MA,103 min,"Dramas, Independent Movies, International Movies","A Sound Engineer Falls For A Model But After An Unfortunate Accident, He Fights To Save Their Love By Triggering Her Senses."
1822,s1823,Movie,Out of Life,Maroun Baghdadi,"Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity, Habib Hammoud, Majdi Machmouchi, Hassan Farhat, Hassan Zbib, Nabila Zeitouni, Hamza Nasrallah, Sami Hawat, Sabrina Leurquin, Roger Assaf, Nidal El Askhar","France, Belgium, Italy","October 19, 2020",1991,TV-MA,94 min,"Classic Movies, Dramas, Independent Movies","Kidnapped By Guerrillas In Beirut, A French Photojournalist Refuses To Yield His Dignity Despite Being Tortured And Brainwashed By His Captors."
1823,s1824,Movie,Panoptic,Rana Eid,Rana Eid,Lebanon,"October 19, 2020",2017,TV-MA,69 min,"Documentaries, International Movies",This Documentary Dissects Lebanon'S Present-Day Paradoxes Stemming From Years Of Conflict As The Director Attempts To Reconcile With Her Nation'S Past.
1824,s1825,Movie,Taxi Ballad,Daniel Joseph,"Talal El-Jordi, Karina Logue, Badih Abou Chakra, Tariq Tamim, Omar Mikati, Hiam Abou Chedid, Mahmoud Mabsout, Aida Sabra","Lebanon, United States, United Arab Emirates","October 19, 2020",2012,TV-MA,81 min,"Dramas, International Movies",A Taxi Driver New To Beirut Forms An Unlikely Bond With A Bored American Pilates Instructor Who Loves Hearing Him Tell Stories About His Past.
1825,s1826,Movie,The Kite,Randa Chahal Sabbag,"Flavia Bechara, Maher Bsaibes, Randa Asmar, Renée Dick, Julia Kassar, Liliane Nemri, Ziad Rahbani, Nayef Naji, Edmond Haddad, Alia Nemry","Lebanon, France","October 19, 2020",2003,TV-MA,76 min,"Dramas, International Movies, Romantic Movies","In An Occupied Village, A Teen Girl Is Set To Wed A Stranger. But When She Crosses Over To Meet Her Betrothed, Her Heart Gets Entangled At The Border."
1826,s1827,Movie,The Little Wars,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay","France, Lebanon","October 19, 2020",1982,TV-14,108 min,"Dramas, Independent Movies, International Movies","Beirut Resident Soraya Is Drawn To Two Men: Daredevil Photographer Nabil And Talal, Who Must Embrace His Feudal Heritage When His Father Is Kidnapped."
1827,s1828,Movie,Under the Bombs,Philippe Aractingi,"Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish","France, Lebanon, United Kingdom","October 19, 2020",2007,TV-MA,94 min,"Dramas, Independent Movies, International Movies",A Mother Arrives In War-Torn Lebanon Looking For Her Missing Son In The South As A Cab Driver Agrees To Escort Her On Her Dangerous Trip.
1829,s1830,Movie,West Beirut,Ziad Doueiri,"Rami Doueiri, Mohamad Chamas, Rola Al Amin, Carmen Lebbos, Joseph Bou Nassar, Liliane Nemri","France, Norway, Lebanon, Belgium","October 19, 2020",1999,TV-MA,106 min,"Dramas, International Movies","Three Intrepid Teens Roam The Streets Of Beirut In The Midst Of Civil War, Filming On A Super 8 Camera And Reckoning With The Pains Of Growing Up."
1830,s1831,Movie,What Did I Mess,Shady Hanna,"Rola Beksmati, Junaid Zeineldine, Abboudy Mallah, Tanya Nasr, Matteo El Khodr, Rita El Khoury, Tony Benn",Lebanon,"October 19, 2020",2018,TV-14,98 min,"Comedies, International Movies, Romantic Movies","In An Attempt To Get Her Ex To Propose, Nayla Hosts A Gathering To Introduce Him To Her New Suitor — Only For The Party To Turn Into A Hellish Occasion."
1831,s1832,Movie,Whispers,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani","Lebanon, Canada, France","October 19, 2020",1980,TV-14,93 min,"Documentaries, International Movies","With Her Home Devastated By War, A Lebanese Poet Takes A Cross-Country Road Trip, Looking For Glimmers Of Hope Through Nostalgic Memories And Verse."
1832,s1833,Movie,Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad","Sweden, Czech Republic, United Kingdom, Denmark, Netherlands","October 19, 2020",2005,TV-MA,99 min,"Dramas, International Movies","When Lebanon'S Civil War Deprives Zozo Of His Family, He'S Left With Grief And Little Means As He Escapes To Sweden In Search Of His Grandparents."
1833,s1834,Movie,ParaNorman,"Sam Fell, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",United States,"October 18, 2020",2012,PG,93 min,"Children & Family Movies, Comedies","When An Army Of Zombies Invades A Small Town, It'S Up To An Odd Local Boy With A Knack For Communicating With The Dead To Save The Day."
1834,s1835,TV Show,Start-Up,"Raúl Campos, Jan Suter","Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na, Kim Do-wan, Yu Su-bin, Stephanie Lee, Kim Hae-sook, Seo Yi-sook, Song Sun-mi",South Korea,"October 18, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Young Entrepreneurs Aspiring To Launch Virtual Dreams Into Reality Compete For Success And Love In The Cutthroat World Of Korea'S High-Tech Industry.
1835,s1836,Movie,I Am Vengeance: Retaliation,Ross Boyask,"Stu Bennett, Vinnie Jones, Mark Griffin, Katrina Durden, Phoebe Robinson-Galvin, Sam Benjamin, David Schaal, Jessica-Jane Stafford, Bentley Kalu, Jean-Paul Ly",United Kingdom,"October 17, 2020",2020,R,82 min,Action & Adventure,"To Clear His Criminal Record, An Ex-Special Forces Soldier Agrees To Lead A Team To Retrieve A Double-Crossing Mercenary And Deliver Him To Justice."
1836,s1837,Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",Kenya,"October 16, 2020",2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",A Group Of Singletons Stumbles Through The Wild Dating Scene In Nairobi As Two Friends Wonder If Their Relationship Is More Than Platonic.
1837,s1838,TV Show,Grand Army,"Raúl Campos, Jan Suter","Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson, Amalia Yoo, Alphonso Romero Jones II, Thelonius Serrell-Freed, Anthony Ippolito, Brian Altemus",United States,"October 16, 2020",2020,TV-MA,1 Season,"TV Dramas, Teen TV Shows","Five Students At The Largest Public High School In Brooklyn Take On A Chaotic World As They Fight To Succeed, Survive, Break Free And Seize The Future."
1838,s1839,Movie,In a Valley of Violence,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone, Karen Gillan, Toby Huss, Tommy Nohilly, Larry Fessenden, Michael Davis, Burn Gorman",United States,"October 16, 2020",2016,R,104 min,Action & Adventure,"After A Quiet Drifter Is Met With Violence And Bullying In A Small Town, He Finds Himself Enmeshed In A Vengeful Struggle With The Local Marshal."
1839,s1840,TV Show,La Révolution,"Raúl Campos, Jan Suter","Amir El Kacem, Marilou Aussilloux, Lionel Erdogan, Isabel Aimé Gonzalez Sola, Julien Frison, Doudou Masta, Dimitri Storoge, Amélia Lacquemant, Coline Beal, Laurent Lucas, Gaia Weiss, Chiara Tantimonaco, Nina Tantimonaco, Pierre Andrau, Philippine Martinot, Jérémie Covillault",France,"October 16, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","In A Reimagined History, A Mysterious Disease Besets 18Th Century France, Culminating In A Brutal Clash Between Rebels And The Aristocracy."
